id,expected,pred,risk
SC-009962,elder_healthcare,fake_investment,0.9
SC-005150,elder_healthcare,elder_healthcare,0.95
SC-005386,elder_healthcare,elder_healthcare,0.9
SC-002895,elder_healthcare,elder_healthcare,0.95
SC-011754,elder_healthcare,elder_healthcare,0.9
SC-001518,elder_healthcare,fake_investment,0.95
SC-007015,elder_healthcare,elder_healthcare,0.9
SC-006721,elder_healthcare,elder_healthcare,0.9
SC-006840,elder_healthcare,elder_healthcare,0.95
SC-004891,elder_healthcare,elder_healthcare,0.95
SC-007250,elder_healthcare,elder_healthcare,0.95
SC-011524,elder_healthcare,elder_healthcare,0.95
SC-008034,elder_healthcare,elder_healthcare,0.9
SC-006400,elder_healthcare,benign,0.1
SC-000208,elder_healthcare,elder_healthcare,0.9
SC-007365,elder_healthcare,elder_healthcare,0.95
SC-009737,elder_healthcare,fake_investment,0.95
SC-004217,elder_healthcare,elder_healthcare,0.9
SC-006549,elder_healthcare,elder_healthcare,0.95
SC-000885,elder_healthcare,elder_healthcare,0.95
SC-006780,elder_healthcare,elder_healthcare,0.95
SC-003666,elder_healthcare,elder_healthcare,0.95
SC-011950,elder_healthcare,elder_healthcare,0.95
SC-000790,elder_healthcare,elder_healthcare,0.95
SC-011034,elder_healthcare,elder_healthcare,0.95
SC-000317,elder_healthcare,elder_healthcare,0.95
SC-000487,elder_healthcare,benign,0.1
SC-004331,elder_healthcare,elder_healthcare,0.9
SC-008238,elder_healthcare,elder_healthcare,0.9
SC-003067,elder_healthcare,elder_healthcare,0.95
SC-011146,elder_healthcare,elder_healthcare,0.95
SC-003846,elder_healthcare,elder_healthcare,0.95
SC-005842,elder_healthcare,elder_healthcare,0.9
SC-009710,elder_healthcare,elder_healthcare,0.95
SC-003988,elder_healthcare,elder_healthcare,0.95
SC-008989,elder_healthcare,elder_healthcare,0.95
SC-011756,elder_healthcare,elder_healthcare,0.9
SC-000698,elder_healthcare,elder_healthcare,0.9
SC-007653,elder_healthcare,elder_healthcare,0.95
SC-010767,elder_healthcare,elder_healthcare,0.9
SC-010161,elder_healthcare,elder_healthcare,0.95
SC-008732,elder_healthcare,elder_healthcare,0.95
SC-011346,elder_healthcare,elder_healthcare,0.95
SC-010017,elder_healthcare,elder_healthcare,0.95
SC-009932,elder_healthcare,elder_healthcare,0.9
SC-009046,elder_healthcare,elder_healthcare,0.95
SC-010857,elder_healthcare,benign,0.1
SC-001833,elder_healthcare,elder_healthcare,0.95
SC-006257,elder_healthcare,elder_healthcare,0.95
SC-005478,elder_healthcare,benign,0.1
SC-003817,elder_healthcare,elder_healthcare,0.95
SC-005663,elder_healthcare,elder_healthcare,0.95
SC-003433,elder_healthcare,benign,0.0
SC-007421,elder_healthcare,elder_healthcare,0.9
SC-000130,elder_healthcare,elder_healthcare,0.85
SC-003347,elder_healthcare,elder_healthcare,0.95
SC-000382,elder_healthcare,elder_healthcare,0.9
SC-011348,elder_healthcare,elder_healthcare,0.95
SC-007132,elder_healthcare,elder_healthcare,0.95
SC-006077,elder_healthcare,benign,0.1
SC-008120,elder_healthcare,elder_healthcare,0.9
SC-001156,elder_healthcare,elder_healthcare,0.9
SC-010130,elder_healthcare,elder_healthcare,0.95
SC-009367,elder_healthcare,elder_healthcare,0.95
SC-009562,elder_healthcare,elder_healthcare,0.85
SC-006431,elder_healthcare,elder_healthcare,0.95
SC-000552,elder_healthcare,elder_healthcare,0.95
SC-008494,elder_healthcare,benign,0.1
SC-003124,elder_healthcare,elder_healthcare,0.95
SC-002495,elder_healthcare,lottery_prize,0.9
SC-011729,elder_healthcare,elder_healthcare,0.95
SC-001579,elder_healthcare,elder_healthcare,0.95
SC-010886,elder_healthcare,elder_healthcare,0.9
SC-004889,elder_healthcare,elder_healthcare,0.9
SC-006956,elder_healthcare,fake_investment,0.95
SC-004639,elder_healthcare,elder_healthcare,0.95
SC-003873,elder_healthcare,elder_healthcare,0.9
SC-001980,elder_healthcare,elder_healthcare,0.9
SC-009188,elder_healthcare,benign,0.1
SC-001071,elder_healthcare,elder_healthcare,0.95
SC-004636,elder_healthcare,elder_healthcare,0.9
SC-006046,elder_healthcare,benign,0.1
SC-002496,elder_healthcare,elder_healthcare,0.95
SC-008959,elder_healthcare,elder_healthcare,0.95
SC-002985,elder_healthcare,elder_healthcare,0.95
SC-001372,elder_healthcare,elder_healthcare,0.95
SC-005238,elder_healthcare,elder_healthcare,0.95
SC-008786,elder_healthcare,fake_investment,0.95
SC-006048,elder_healthcare,elder_healthcare,0.95
SC-000974,elder_healthcare,elder_healthcare,0.95
SC-008239,elder_healthcare,elder_healthcare,0.95
SC-011288,elder_healthcare,elder_healthcare,0.95
SC-008760,elder_healthcare,elder_healthcare,0.9
SC-005725,elder_healthcare,elder_healthcare,0.95
SC-007568,elder_healthcare,elder_healthcare,0.95
SC-004303,elder_healthcare,elder_healthcare,0.85
SC-011290,elder_healthcare,elder_healthcare,0.95
SC-005988,elder_healthcare,fake_investment,0.95
SC-003727,elder_healthcare,elder_healthcare,0.95
SC-011006,elder_healthcare,elder_healthcare,0.9
SC-008468,elder_healthcare,fake_investment,0.9
SC-006459,elder_healthcare,elder_healthcare,0.95
SC-001576,elder_healthcare,elder_healthcare,0.9
SC-005040,elder_healthcare,elder_healthcare,0.95
SC-011670,elder_healthcare,elder_healthcare,0.9
SC-007860,elder_healthcare,elder_healthcare,0.95
SC-003521,elder_healthcare,fake_investment,0.9
SC-006108,elder_healthcare,elder_healthcare,0.95
SC-005873,elder_healthcare,elder_healthcare,0.95
SC-001400,elder_healthcare,elder_healthcare,0.9
SC-007159,elder_healthcare,fake_investment,0.9
SC-001804,elder_healthcare,elder_healthcare,0.95
SC-004248,elder_healthcare,elder_healthcare,0.95
SC-001427,elder_healthcare,elder_healthcare,0.95
SC-006346,elder_healthcare,elder_healthcare,0.9
SC-011612,elder_healthcare,elder_healthcare,0.9
SC-004860,elder_healthcare,elder_healthcare,0.9
SC-008237,elder_healthcare,elder_healthcare,0.95
SC-011921,elder_healthcare,elder_healthcare,0.9
SC-002404,elder_healthcare,elder_healthcare,0.9
SC-011035,elder_healthcare,elder_healthcare,0.95
SC-002548,elder_healthcare,elder_healthcare,0.9
SC-002692,elder_healthcare,elder_healthcare,0.95
SC-005207,elder_healthcare,elder_healthcare,0.9
SC-000762,elder_healthcare,elder_healthcare,0.98
SC-002287,elder_healthcare,benign,0.1
SC-010016,elder_healthcare,elder_healthcare,0.95
SC-005179,elder_healthcare,elder_healthcare,0.95
SC-011949,elder_healthcare,elder_healthcare,0.95
SC-001773,elder_healthcare,elder_healthcare,0.95
SC-000883,elder_healthcare,elder_healthcare,0.95
SC-005633,elder_healthcare,elder_healthcare,0.95
SC-000268,elder_healthcare,elder_healthcare,0.9
SC-000209,elder_healthcare,elder_healthcare,0.95
SC-005724,elder_healthcare,elder_healthcare,0.95
SC-005931,elder_healthcare,elder_healthcare,0.95
SC-000823,elder_healthcare,elder_healthcare,0.95
SC-001981,elder_healthcare,fake_investment,0.95
SC-004048,elder_healthcare,elder_healthcare,0.95
SC-009279,elder_healthcare,elder_healthcare,0.95
SC-007537,elder_healthcare,elder_healthcare,0.95
SC-000383,elder_healthcare,elder_healthcare,0.95
SC-002288,elder_healthcare,elder_healthcare,0.95
SC-010392,elder_healthcare,elder_healthcare,0.95
SC-003296,elder_healthcare,elder_healthcare,0.95
SC-003551,elder_healthcare,elder_healthcare,0.95
SC-008296,elder_healthcare,elder_healthcare,0.95
SC-006285,elder_healthcare,elder_healthcare,0.95
SC-007161,elder_healthcare,elder_healthcare,0.95
SC-006581,elder_healthcare,elder_healthcare,0.95
SC-006374,elder_healthcare,elder_healthcare,0.95
SC-005693,elder_healthcare,fake_investment,0.9
SC-011345,elder_healthcare,benign,0.1
SC-010628,elder_healthcare,elder_healthcare,0.95
SC-009625,elder_healthcare,elder_healthcare,0.95
SC-010099,elder_healthcare,fake_investment,0.9
SC-010507,elder_healthcare,elder_healthcare,0.9
SC-011318,elder_healthcare,elder_healthcare,0.95
SC-011584,elder_healthcare,elder_healthcare,0.95
SC-001860,elder_healthcare,elder_healthcare,0.95
SC-010302,elder_healthcare,benign,0.1
SC-007337,elder_healthcare,elder_healthcare,0.95
SC-008929,elder_healthcare,elder_healthcare,0.95
SC-003962,elder_healthcare,elder_healthcare,0.95
SC-009106,elder_healthcare,elder_healthcare,0.95
SC-004273,elder_healthcare,elder_healthcare,0.9
SC-005148,elder_healthcare,elder_healthcare,0.95
SC-006286,elder_healthcare,elder_healthcare,0.95
SC-011263,elder_healthcare,elder_healthcare,0.95
SC-000853,elder_healthcare,elder_healthcare,0.95
SC-009880,elder_healthcare,elder_healthcare,0.95
SC-005664,elder_healthcare,elder_healthcare,0.95
SC-010800,elder_healthcare,elder_healthcare,0.95
SC-003787,elder_healthcare,elder_healthcare,0.95
SC-007800,elder_healthcare,elder_healthcare,0.95
SC-000640,elder_healthcare,elder_healthcare,0.95
SC-009451,elder_healthcare,elder_healthcare,0.95
SC-006781,elder_healthcare,elder_healthcare,0.95
SC-004218,elder_healthcare,elder_healthcare,0.9
SC-011951,elder_healthcare,elder_healthcare,0.95
SC-004106,elder_healthcare,benign,0.1
SC-011641,elder_healthcare,elder_healthcare,0.95
SC-011553,elder_healthcare,elder_healthcare,0.95
SC-009964,elder_healthcare,elder_healthcare,0.95
SC-003322,elder_healthcare,elder_healthcare,0.9
SC-011176,elder_healthcare,elder_healthcare,0.95
SC-007131,elder_healthcare,elder_healthcare,0.95
SC-005267,elder_healthcare,elder_healthcare,0.95
SC-005898,elder_healthcare,benign,0.1
SC-010450,elder_healthcare,elder_healthcare,0.95
SC-003125,elder_healthcare,elder_healthcare,0.95
SC-008785,elder_healthcare,benign,0.1
SC-003404,elder_healthcare,elder_healthcare,0.85
SC-006135,elder_healthcare,elder_healthcare,0.95
SC-007949,elder_healthcare,elder_healthcare,0.95
SC-007018,elder_healthcare,elder_healthcare,0.95
SC-007920,elder_healthcare,elder_healthcare,0.95
SC-000578,elder_healthcare,benign,0.1
SC-000297,elder_healthcare,elder_healthcare,0.95
SC-004530,elder_healthcare,elder_healthcare,0.9
SC-001862,elder_healthcare,elder_healthcare,0.9
SC-008328,elder_healthcare,elder_healthcare,0.95
SC-003695,elder_healthcare,elder_healthcare,0.95
SC-001308,elder_healthcare,elder_healthcare,0.9
SC-008267,elder_healthcare,elder_healthcare,0.9
SC-011004,elder_healthcare,elder_healthcare,0.9
SC-005601,elder_healthcare,elder_healthcare,0.95
SC-007104,elder_healthcare,elder_healthcare,0.95
SC-001280,elder_healthcare,elder_healthcare,0.95
SC-007077,elder_healthcare,elder_healthcare,0.95
SC-004165,elder_healthcare,elder_healthcare,0.95
SC-008672,elder_healthcare,elder_healthcare,0.9
SC-004921,elder_healthcare,elder_healthcare,0.95
SC-000913,elder_healthcare,elder_healthcare,0.95
SC-007654,elder_healthcare,elder_healthcare,0.95
SC-001718,elder_healthcare,elder_healthcare,0.95
SC-005149,elder_healthcare,elder_healthcare,0.95
SC-003581,elder_healthcare,elder_healthcare,0.9
SC-001458,elder_healthcare,benign,0.1
SC-010213,elder_healthcare,fake_investment,0.95
SC-011405,elder_healthcare,fake_investment,0.95
SC-008787,elder_healthcare,elder_healthcare,0.95
SC-005632,elder_healthcare,fake_investment,0.9
SC-003435,elder_healthcare,elder_healthcare,0.95
SC-003349,elder_healthcare,elder_healthcare,0.95
SC-005210,elder_healthcare,elder_healthcare,0.95
SC-010451,elder_healthcare,elder_healthcare,0.95
SC-008527,elder_healthcare,elder_healthcare,0.9
SC-008151,elder_healthcare,elder_healthcare,0.95
SC-010419,elder_healthcare,elder_healthcare,0.95
SC-000153,elder_healthcare,elder_healthcare,0.9
SC-003756,elder_healthcare,elder_healthcare,0.95
SC-003667,elder_healthcare,elder_healthcare,0.95
SC-001369,elder_healthcare,elder_healthcare,0.9
SC-010417,elder_healthcare,benign,0.1
SC-003053,fake_investment,refund_cs,0.9
SC-011347,elder_healthcare,elder_healthcare,0.95
SC-010859,elder_healthcare,elder_healthcare,0.95
SC-002052,elder_healthcare,elder_healthcare,0.95
SC-006707,fake_investment,lottery_prize,0.9
SC-008573,fake_investment,benign,0.1
SC-003507,fake_investment,fake_investment,0.95
SC-006062,fake_investment,elder_healthcare,0.95
SC-004678,fake_investment,elder_healthcare,0.95
SC-011568,fake_investment,fake_investment,0.95
SC-008221,fake_investment,elder_healthcare,0.9
SC-010874,fake_investment,fake_investment,0.9
SC-000504,fake_investment,fake_investment,0.95
SC-011506,fake_investment,elder_healthcare,0.95
SC-000399,fake_investment,refund_cs,0.7
SC-009610,fake_investment,impersonate_family,0.9
SC-010931,fake_investment,elder_healthcare,0.95
SC-011447,fake_investment,fake_investment,0.95
SC-007144,fake_investment,elder_healthcare,0.95
SC-002880,fake_investment,lottery_prize,0.9
SC-000369,fake_investment,refund_cs,0.9
SC-002708,fake_investment,lottery_prize,0.9
SC-011507,fake_investment,fake_investment,0.9
SC-004000,fake_investment,fake_investment,0.9
SC-003594,fake_investment,fake_investment,0.95
SC-003279,fake_investment,elder_healthcare,0.95
SC-006388,fake_investment,fake_investment,0.9
SC-007145,fake_investment,lottery_prize,0.9
SC-000222,fake_investment,benign,0.1
SC-011852,fake_investment,fake_investment,0.9
SC-011303,fake_investment,romance_pig,0.9
SC-006269,fake_investment,fake_investment,0.95
SC-007584,fake_investment,benign,0.1
SC-001323,fake_investment,fake_investment,0.85
SC-007695,fake_investment,elder_healthcare,0.85
SC-001935,fake_investment,elder_healthcare,0.9
SC-007904,fake_investment,fake_investment,0.95
SC-005194,fake_investment,elder_healthcare,0.95
SC-001591,fake_investment,elder_healthcare,0.95
SC-005493,fake_investment,elder_healthcare,0.9
SC-007146,fake_investment,fake_investment,0.95
SC-008137,fake_investment,lottery_prize,0.9
SC-004431,fake_investment,elder_healthcare,0.95
SC-004595,fake_investment,fake_investment,0.95
SC-000654,fake_investment,fake_investment,0.95
SC-008659,fake_investment,elder_healthcare,0.95
SC-007322,fake_investment,fake_investment,0.9
SC-011248,fake_investment,fake_investment,0.9
SC-003224,fake_investment,lottery_prize,0.9
SC-011537,fake_investment,benign,0.1
SC-002971,fake_investment,refund_cs,0.9
SC-002998,fake_investment,lottery_prize,0.9
SC-005403,fake_investment,refund_cs,0.9
SC-008745,fake_investment,fake_investment,0.95
SC-011049,fake_investment,impersonate_authority,0.9
SC-000367,fake_investment,fake_investment,0.95
SC-004875,fake_investment,fake_investment,0.95
SC-004876,fake_investment,online_loan,0.95
SC-005646,fake_investment,fake_investment,0.9
SC-001938,fake_investment,fake_investment,0.95
SC-006033,fake_investment,fake_investment,0.95
SC-009265,fake_investment,online_loan,0.95
SC-004844,fake_investment,fake_investment,0.9
SC-007088,fake_investment,fake_investment,0.9
SC-000687,fake_investment,fake_investment,0.95
SC-008774,fake_investment,fake_investment,0.95
SC-006913,fake_investment,lottery_prize,0.9
SC-009435,fake_investment,lottery_prize,0.9
SC-010318,fake_investment,online_loan,0.95
SC-005973,fake_investment,fake_investment,0.95
SC-009205,fake_investment,elder_healthcare,0.95
SC-009978,fake_investment,fake_investment,0.95
SC-008860,fake_investment,fake_investment,0.95
SC-008193,fake_investment,fake_investment,0.95
SC-010464,fake_investment,lottery_prize,0.9
SC-010404,fake_investment,fake_investment,0.95
SC-007349,fake_investment,fake_investment,0.95
SC-000716,fake_investment,lottery_prize,0.9
SC-005825,fake_investment,fake_investment,0.9
SC-002301,fake_investment,fake_investment,0.9
SC-001174,fake_investment,online_loan,0.95
SC-004231,fake_investment,elder_healthcare,0.9
SC-002025,fake_investment,elder_healthcare,0.95
SC-004347,fake_investment,elder_healthcare,0.95
SC-003802,fake_investment,online_loan,0.95
SC-007932,fake_investment,fake_investment,0.95
SC-011219,fake_investment,fake_investment,0.95
SC-001995,fake_investment,fake_investment,0.9
SC-010754,fake_investment,elder_healthcare,0.95
SC-003565,fake_investment,elder_healthcare,0.9
SC-009263,fake_investment,elder_healthcare,0.95
SC-005945,fake_investment,fake_investment,0.95
SC-003831,fake_investment,fake_investment,0.95
SC-011625,fake_investment,lottery_prize,0.9
SC-007323,fake_investment,fake_investment,0.95
SC-006092,fake_investment,lottery_prize,0.9
SC-005466,fake_investment,fake_investment,0.95
SC-008944,fake_investment,fake_investment,0.95
SC-008915,fake_investment,fake_investment,0.95
SC-007320,fake_investment,elder_healthcare,0.9
SC-006177,fake_investment,elder_healthcare,0.95
SC-010344,fake_investment,elder_healthcare,0.9
SC-000063,fake_investment,fake_investment,0.95
SC-007176,fake_investment,fake_investment,0.9
SC-000899,fake_investment,lottery_prize,0.9
SC-003859,fake_investment,fake_investment,0.95
SC-010057,fake_investment,lottery_prize,0.9
SC-000866,fake_investment,benign,0.1
SC-003252,fake_investment,elder_healthcare,0.9
SC-011163,fake_investment,lottery_prize,0.9
SC-005079,fake_investment,fake_investment,0.95
SC-003393,fake_investment,online_loan,0.9
SC-002849,fake_investment,fake_investment,0.95
SC-010172,fake_investment,fake_investment,0.95
SC-000192,fake_investment,fake_investment,0.95
SC-010583,fake_investment,fake_investment,0.95
SC-002303,fake_investment,fake_investment,0.9
SC-010901,fake_investment,fake_investment,0.95
SC-007905,fake_investment,lottery_prize,0.9
SC-011449,fake_investment,refund_cs,0.9
SC-010640,fake_investment,lottery_prize,0.9
SC-000623,fake_investment,elder_healthcare,0.95
SC-005738,fake_investment,fake_investment,0.95
SC-009464,fake_investment,fake_investment,0.95
SC-002709,fake_investment,romance_pig,0.9
SC-008223,fake_investment,lottery_prize,0.9
SC-011878,fake_investment,fake_investment,0.95
SC-001532,fake_investment,elder_healthcare,0.95
SC-009491,fake_investment,fake_investment,0.95
SC-004708,fake_investment,fake_investment,0.9
SC-002448,fake_investment,elder_healthcare,0.95
SC-010641,fake_investment,online_loan,0.95
SC-006118,fake_investment,elder_healthcare,0.9
SC-004462,fake_investment,lottery_prize,0.9
SC-007726,fake_investment,fake_investment,0.9
SC-008047,fake_investment,elder_healthcare,0.95
SC-000958,fake_investment,elder_healthcare,0.9
SC-003653,fake_investment,refund_cs,0.9
SC-001295,fake_investment,lottery_prize,0.9
SC-004402,fake_investment,fake_investment,0.85
SC-000808,fake_investment,fake_investment,0.95
SC-007032,fake_investment,online_loan,0.95
SC-006417,fake_investment,benign,0.1
SC-001505,fake_investment,lottery_prize,0.9
SC-003595,fake_investment,lottery_prize,0.9
SC-008888,fake_investment,lottery_prize,0.9
SC-008802,fake_investment,lottery_prize,0.9
SC-010117,fake_investment,fake_investment,0.9
SC-002879,fake_investment,fake_investment,0.95
SC-005796,fake_investment,fake_investment,0.95
SC-003829,fake_investment,fake_investment,0.95
SC-002735,fake_investment,lottery_prize,0.95
SC-004002,fake_investment,lottery_prize,0.9
SC-000062,fake_investment,elder_healthcare,0.85
SC-010523,fake_investment,fake_investment,0.9
SC-000714,fake_investment,fake_investment,0.9
SC-008660,fake_investment,fake_investment,0.9
SC-011850,fake_investment,impersonate_authority,0.95
SC-003711,fake_investment,lottery_prize,0.9
SC-006502,fake_investment,fake_investment,0.95
SC-001354,fake_investment,fake_investment,0.95
SC-000115,fake_investment,fake_investment,0.85
SC-001965,fake_investment,elder_healthcare,0.85
SC-010989,fake_investment,fake_investment,0.95
SC-001936,fake_investment,fake_investment,0.95
SC-011300,fake_investment,fake_investment,0.9
SC-011160,fake_investment,fake_investment,0.85
SC-011191,fake_investment,fake_investment,0.95
SC-006473,fake_investment,lottery_prize,0.9
SC-005077,fake_investment,fake_investment,0.95
SC-000595,fake_investment,elder_healthcare,0.95
SC-006474,fake_investment,refund_cs,0.95
SC-005586,fake_investment,fake_investment,0.95
SC-005463,fake_investment,elder_healthcare,0.95
SC-011190,fake_investment,fake_investment,0.85
SC-009950,fake_investment,online_loan,0.9
SC-005252,fake_investment,fake_investment,0.9
SC-000428,fake_investment,elder_healthcare,0.9
SC-003948,fake_investment,fake_investment,0.9
SC-003362,fake_investment,fake_investment,0.95
SC-002878,fake_investment,fake_investment,0.9
SC-010816,fake_investment,benign,0.1
SC-000655,fake_investment,fake_investment,0.95
SC-006179,fake_investment,online_loan,0.95
SC-002302,fake_investment,fake_investment,0.95
SC-000564,fake_investment,benign,0.1
SC-010990,fake_investment,fake_investment,0.95
SC-001055,fake_investment,fake_investment,0.95
SC-001648,fake_investment,elder_healthcare,0.9
SC-006387,fake_investment,elder_healthcare,0.95
SC-008134,fake_investment,elder_healthcare,0.85
SC-011907,fake_investment,elder_healthcare,0.95
SC-004992,fake_investment,fake_investment,0.95
SC-001621,fake_investment,online_loan,0.95
SC-003772,fake_investment,fake_investment,0.9
SC-004963,fake_investment,fake_investment,0.9
SC-002390,fake_investment,elder_healthcare,0.95
SC-002881,fake_investment,refund_cs,0.9
SC-006595,fake_investment,fake_investment,0.95
SC-006912,fake_investment,fake_investment,0.95
SC-008399,fake_investment,lottery_prize,0.9
SC-002820,fake_investment,lottery_prize,0.9
SC-008426,fake_investment,fake_investment,0.9
SC-009031,fake_investment,elder_healthcare,0.85
SC-005051,fake_investment,elder_healthcare,0.95
SC-006794,fake_investment,fake_investment,0.95
SC-002157,fake_investment,fake_investment,0.95
SC-000397,fake_investment,fake_investment,0.95
SC-008282,fake_investment,lottery_prize,0.9
SC-006149,fake_investment,fake_investment,0.9
SC-007583,fake_investment,lottery_prize,0.9
SC-010667,fake_investment,elder_healthcare,0.95
SC-009207,fake_investment,online_loan,0.95
SC-002763,fake_investment,fake_investment,0.95
SC-000805,fake_investment,benign,0.1
SC-000010,fake_investment,lottery_prize,0.85
SC-009324,fake_investment,lottery_prize,0.9
SC-009608,fake_investment,fake_investment,0.95
SC-005342,fake_investment,lottery_prize,0.9
SC-000745,fake_investment,fake_investment,0.95
SC-005401,fake_investment,fake_investment,0.9
SC-010991,fake_investment,refund_cs,0.9
SC-009919,fake_investment,elder_healthcare,0.95
SC-009547,fake_investment,elder_healthcare,0.9
SC-011218,fake_investment,fake_investment,0.9
SC-009549,fake_investment,fake_investment,0.9
SC-002478,fake_investment,fake_investment,0.9
SC-004793,fake_investment,fake_investment,0.95
SC-002036,fake_investment,impersonate_authority,0.9
SC-001232,fake_investment,fake_investment,0.95
SC-000867,fake_investment,fake_investment,0.95
SC-005915,fake_investment,refund_cs,0.9
SC-011103,fake_investment,lottery_prize,0.9
SC-010375,fake_investment,elder_healthcare,0.95
SC-003770,fake_investment,fake_investment,0.95
SC-009863,fake_investment,elder_healthcare,0.95
SC-009892,fake_investment,fake_investment,0.95
SC-004091,fake_investment,fake_investment,0.95
SC-005341,fake_investment,fake_investment,0.95
SC-006472,fake_investment,fake_investment,0.95
SC-002536,fake_investment,lottery_prize,0.9
SC-001023,fake_investment,lottery_prize,0.9
SC-002648,fake_investment,lottery_prize,0.9
SC-003535,fake_investment,fake_investment,0.9
SC-002938,fake_investment,elder_healthcare,0.85
SC-001650,fake_investment,fake_investment,0.9
SC-006532,fake_investment,fake_investment,0.9
SC-006943,fake_investment,lottery_prize,0.9
SC-007003,fake_investment,online_loan,0.95
SC-002187,fake_investment,online_loan,0.95
SC-005556,fake_investment,elder_healthcare,0.9
SC-009489,fake_investment,elder_healthcare,0.95
SC-002065,fake_investment,fake_investment,0.9
SC-001675,fake_investment,elder_healthcare,0.9
SC-008313,fake_investment,fake_investment,0.9
SC-004652,fake_investment,fake_investment,0.95
SC-005165,fake_investment,impersonate_authority,0.9
SC-004205,fake_investment,fake_investment,0.95
SC-009807,fake_investment,fake_investment,0.95
SC-008859,fake_investment,fake_investment,0.9
SC-002997,fake_investment,fake_investment,0.95
SC-002911,fake_investment,fake_investment,0.95
SC-000537,fake_investment,online_loan,0.95
SC-002677,fake_investment,fake_investment,0.9
SC-000334,fake_investment,fake_investment,0.9
SC-011877,fake_investment,elder_healthcare,0.9
SC-008106,fake_investment,fake_investment,0.9
SC-009146,fake_investment,lottery_prize,0.9
SC-001233,fake_investment,lottery_prize,0.9
SC-006061,fake_investment,fake_investment,0.9
SC-002734,fake_investment,lottery_prize,0.9
SC-007030,fake_investment,fake_investment,0.95
SC-005588,fake_investment,fake_investment,0.95
SC-001816,fake_investment,elder_healthcare,0.9
SC-011302,fake_investment,fake_investment,0.9
SC-005024,fake_investment,fake_investment,0.95
SC-008454,fake_investment,fake_investment,0.95
SC-009779,fake_investment,elder_healthcare,0.85
SC-006360,fake_investment,fake_investment,0.9
SC-001845,fake_investment,elder_healthcare,0.85
SC-003681,fake_investment,fake_investment,0.95
SC-004651,fake_investment,fake_investment,0.95
SC-010668,fake_investment,lottery_prize,0.9
SC-004518,fake_investment,fake_investment,0.95
