id,category,stage,text,confirm,reason
SC-005207,elder_healthcare,opening,哎，阿姨，是我啊，中安理财的小王，您还记得吧？这不周四我们搞个专家义诊，专看心脑血管这些老毛病，您来一趟呗？,keep,内容为理财类诈骗开场，以义诊名义吸引老年人，符合开场阶段铺垫特征。
SC-005266,elder_healthcare,pressure,喂，你听说了没？那个专家就今天坐诊，明天中午优惠一过期，你排到下个月都轮不上！赶紧的，别磨蹭了！,keep,属于医疗诈骗pressure阶段，催促紧迫感合理，未越界。
SC-005299,romance_pig,opening,喂，亲爱的，在忙吗？我这会儿啊，心里头突然特别想你，就赶紧给你打个电话。,keep,符合杀猪盘开场阶段人设与情感铺垫，口语自然。
SC-005511,elder_healthcare,pressure,喂，你怎么还不来啊！这病真的拖不得了，再拖下去就落下病根了，你听我说，晚一步人就完了，赶紧的，别磨蹭！,keep,内容为催促施压，符合pressure阶段特征，虽未提钱但可作铺垫。
SC-005600,elder_healthcare,opening,喂，老李啊，我社区小王，咱们组织那个免费体检，我寻思着给您报上名了，回头您可得来啊！,keep,符合冒充熟人/社区人员开场铺垫，口语自然，可作opening使用。
SC-005638,impersonate_family,opening,喂王阿姨，是我啊，手机被收了我偷偷用别人手机打的，你别挂，那个我这边出了点急事，就两句话讲完。,keep,符合冒充熟人开场情境，口语自然，未直接索财属正常铺垫。
SC-005640,impersonate_family,pressure,喂！你听我说，人家家属现在就堵在我这儿呢！你今天下午五点前再不把钱打过来，我立马报警，让他们直接抓你，听到没！现在，就现在！,keep,属pressure阶段威胁施压话术，内容与标注类别相符，可成立。
SC-005768,fake_investment,pressure,喂，听好了啊！这事真等不了，名额明天中午就截止了，过了这村可就没这店了！你赶紧的，现在就得定下来，别磨蹭！,keep,符合pressure阶段特征，催促紧迫感强，未涉及具体诈骗类别但作为施压话术成立。
SC-005784,romance_pig,opening,喂，亲爱的，在忙吗？那个…我今天不知怎么的，特别想你，心里头空落落的。,keep,符合romance_pig开场阶段的人设与情感铺垫，口语自然，应保留。
SC-005806,lottery_prize,ask,喂，那个……您之前申请的资金账户因为流水不够被冻结了，需要先交一笔三千块的保证金激活，卡号我短信发您啊，您操作完千万先别跟我爸说，咱俩私下解决就行。,drop,内容核心为解冻交保证金，与标注类别无关且无该类铺垫要素，属类别错配。
SC-005848,impersonate_family,buildup,喂，是李阿姨吗？哎呀，我刚刚接到孙子辅导员的电话，说他骑车被撞了，人在医院呢。我这心里急得不行，结果那骗子又冒出来，说我之前转账的钱是骗来的，现在平台要我还回去，不然就报警抓我。你说这咋办啊？,drop,内容混杂冒充孙子车祸与退款诈骗，逻辑混乱，与单一标注类别不符。
SC-005907,impersonate_family,pressure,喂！你听说了没？人现在就在我边上躺着呢！今晚十二点之前钱不到位，我直接报警抓你，半小时，半小时内必须到账，听见没！,keep,内容为pressure阶段威胁施压，符合诈骗话术特征，未发现硬伤。
SC-005991,romance_pig,opening,宝贝，我刚下手术台，手都还抖着呢，第一个就想给你报个平安，你听我说啊。,keep,符合杀猪盘开场人设铺垫，医生身份营造信任感，口语自然。
SC-006228,romance_pig,pressure,喂，你听我说！你要是不信我，现在、立刻就把钱全撤出来！我什么都不说了，到时候被扣光了可别怪我！,keep,属pressure阶段典型施压话术，威胁语气符合诈骗场景，无硬伤。
SC-006287,romance_pig,opening,喂，亲爱的，在忙吗？我这会儿刚忙完，特别想你，你听我说说话呗。,keep,符合杀猪盘开场人设，情感铺垫自然，口语感强，可作opening使用。
SC-006314,elder_healthcare,opening,喂，妈？是我啊，那个社区刚发通知，说给咱老年人搞免费体检，我寻思着您最近老说头晕，就赶紧给您报上名了。,keep,符合冒充熟人/亲情类开场铺垫，情境自然，未直接索财属正常铺垫。
SC-006375,romance_pig,opening,喂，宝贝，我刚下手术台，哎呀，累得不行，但第一个就想先给你报个平安，你听我说啊。,keep,符合杀猪盘开场人设铺垫，医生身份与关心语气自然，无硬伤。
SC-006404,romance_pig,opening,喂，宝贝，是我啊，刚下手术台，手都还抖着呢，第一个就想着给你打电话了。,keep,符合杀猪盘开场人设铺垫，营造医生忙碌形象，口语自然。
SC-006521,romance_pig,opening,喂，亲爱的，在忙吗？我今儿个突然特别想你，你说咱们晚上出来见个面聊聊呗？,keep,符合romance_pig开场阶段，人设与情境铺设自然，口语感强。
SC-006526,impersonate_family,buildup,喂，是王阿姨吗？那个……我是小刘啊，就您儿子单位的同事。刚他出车祸了，我陪他来医院呢，手机也摔坏了，让我赶紧联系您。您听我说，他这情况得先垫钱，可谁想到我手机里正好有笔要还平台的钱，这真是被骗惨了，您赶紧准备两万块转我吧！,drop,类别错配，标注应为冒充熟人/领导诈骗，而非杀猪盘，且无该类铺垫要素。
SC-006548,elder_healthcare,buildup,喂，您好，是陈女士吧？那个，您上周在我们这做的体检报告，专家刚看了，说您这情况啊，真得抓紧调理了，不能再拖了。正好我们这边有个内部渠道，是关于原始股认购的，跟您这体质特别对症，您听我说两句行吗？,drop,体检报告与原始股认购毫无关联，逻辑荒谬穿帮，真实电话不可能成立。
SC-006608,elder_healthcare,opening,喂，阿婆啊，是我小王，社区那个小李啊！那个免费体检的事儿您还记得吧？我给您报上名了，到时候我来接您哈。,keep,符合冒充熟人/社区工作人员开场铺垫，口语自然，未直接索财属正常开场。
SC-006692,elder_healthcare,opening,喂，阿姨啊，我是咱中安理财的小王，就是那个健康顾问，这不周四给您安排了个专家义诊嘛，专看您这个岁数的心脑血管，您可得来啊。,keep,内容为理财诈骗开场铺垫，以义诊名义建立信任，符合类别与阶段。
SC-006724,romance_pig,opening,喂，宝贝，我刚下手术台，跟你说啊，累得不行了，这会就想先听听你声音。,keep,符合杀猪盘开场人设铺垫，口语自然，未直接索财属正常。
SC-006753,elder_healthcare,pressure,你这病真拖不得了！再拖下去，腰子就彻底废了，后半辈子瘫床上，谁管你？赶紧的，今天就安排手术！,keep,医疗诈骗pressure阶段，威胁病情恶化施压，符合阶段特征。
SC-006963,impersonate_family,buildup,喂，是我，那个，我外孙的主治医生刚给我打电话，说孩子突发疾病住院了，我这心里急得不行，之前被人骗了，还欠着平台一笔钱没还清呢。,keep,内容为冒充熟人/医生类诈骗开场，铺垫紧急情境与欠款背景，符合opening阶段要求。
SC-007017,elder_healthcare,pressure,喂，我跟你说你这病真拖不得了！再拖下去，啧啧，出大问题了你懂不懂？现在就赶紧办，别磨蹭！,keep,属pressure阶段施压话术，催促办理，符合诈骗施压特征。
SC-007019,romance_pig,opening,喂，亲爱的，在忙吗？我今儿个特别想你，刚路过咱上次那家店，就想起你了。,keep,符合romance_pig开场铺垫，营造亲密氛围，未直接索财属正常。
SC-007045,elder_healthcare,buildup,喂，你听说了吗，就那个航天员在太空用的同款产品，我跟你说啊，这个稳赚不赔的，医院那边都瞒着不告诉你，咱自己人偷偷搞到渠道了，你赶紧听听。,keep,内容涉及航天产品投资及内部渠道，符合杀猪盘铺垫阶段特征。
SC-007078,romance_pig,opening,喂，亲爱的，在忙吗？我今儿个特别想你，刚开会走神儿老想着你呢。,keep,符合杀猪盘开场人设与情感铺垫，口语自然，可作opening使用。
SC-007167,impersonate_family,buildup,阿公啊，是我，我肚子疼得不行了，急性阑尾炎，刚还被交警扣在队里呢，之前网贷那事让人骗了，平台现在追着我要钱，您先别挂，听我说完。,keep,内容为冒充亲友紧急求助，符合冒充类开场铺垫，虽信息跳跃但可成立。
SC-007250,elder_healthcare,pressure,喂！你听说了没有？那个专家就今天坐诊，下午五点前优惠就没了！你半小时内必须把钱打过来，不然耽误了可别怪我！,keep,内容为pressure阶段典型施压话术，催促限时转账，符合诈骗场景。
SC-007262,fake_investment,opening,喂，妈，是我啊，老周！上次社区那个免费体检，我跟您聊半天来着，您忘了？,keep,符合冒充熟人开场，情境铺垫自然，未直接索财属正常设计。
SC-007480,romance_pig,opening,喂，亲爱的，在忙吗？我这会儿刚闲下来，特别想你，你听我说会儿话呗。,keep,符合杀猪盘开场人设，营造亲密氛围，属正常铺垫。
SC-007507,elder_healthcare,buildup,喂，您好，是张女士吗？啊，我这边是航天科创中心的，跟您说个好事儿，就那个航天员在太空喝的同款益生菌，现在咱们普通老百姓也能买了，年化收益百分之十五啊，比存银行强多了，这事儿医院里头他们都不带告诉您的。,drop,将益生菌与年化收益混谈，逻辑荒谬穿帮，真实电话不可能成立。
SC-007508,elder_healthcare,pressure,喂，你听我说啊，这病真拖不得了，再拖下去治疗都来不及了，你懂不懂啊？就现在，赶紧的！,keep,内容为医疗诈骗施压阶段话术，催促紧迫感符合pressure阶段特征。
SC-007510,romance_pig,opening,喂，亲爱的，在忙吗？我这儿刚闲下来，今天就特别想你，想听听你声音。,keep,符合romance_pig开场人设与情感铺垫，口语自然，可作opening使用。
SC-007652,elder_healthcare,buildup,喂，您好，是王女士吧？那个，您的体检报告专家看过了，说您这情况啊真得抓紧调理，不能拖。正好我们这有个高息存款项目，名额不多，您听我说，先别挂。,keep,内容为医疗关怀切入高息理财，符合投资诈骗开场铺垫，可成立。
SC-007659,impersonate_family,pressure,喂！你听清楚了，现在你家属就在我边上，今天二十四点之前钱不到位，我立马报警，你等着被抓吧！晚一步，全完了！,keep,内容为冒充公检法类诈骗的施压阶段，威胁紧迫感强，符合类别与阶段要求。
SC-008122,elder_healthcare,pressure,喂，你这病真拖不得了！再拖下去耽误了治疗，谁负责？就现在，赶紧的，别磨蹭！,keep,属pressure阶段施压话术，催促就医制造紧迫感，符合诈骗施压特征。
SC-008392,impersonate_family,buildup,喂，是王先生吗？哎呀，我刚接到我女儿主治医生电话，说他急性阑尾炎，我这心里头乱得不行，结果又发现我被骗了，平台上那笔钱得赶紧还上，你听我说，这事真急！,keep,内容为冒充熟人/紧急情境铺垫，符合opening阶段特征，虽未直接索财但可成立。
SC-008447,impersonate_family,buildup,喂，那个，我刚刚接到我儿子班主任的电话，说他出车祸了，我吓得腿都软了……结果一查，才发现自己是被骗了，现在平台那边催着要我还钱，你听我说，这事儿真急死我了。,drop,内容为受害者自述被骗经历，非诈骗话术，与标注类别不符。
SC-008471,romance_pig,opening,喂，宝贝，是我啊，我刚下手术台，手都没来得及洗呢，第一个就想着先给你打个电话。,keep,符合杀猪盘开场人设铺垫，营造亲密关系氛围，可成立。
SC-008530,romance_pig,opening,喂，宝贝，我这边刚下手术台，第一个就想跟你说话，你听见没？,keep,符合杀猪盘开场人设，医生身份铺垫自然，口语感强。
SC-008565,impersonate_family,buildup,喂，王阿姨啊，我是小李，那个…我现在人在外地出差呢，酒店里头突然肚子疼得厉害，一查是急性阑尾炎，你说倒霉不倒霉。结果刚才又接到通知，说我之前网上贷款那笔钱被人骗了，平台催着我还呢，我这急得真不知道咋办了。,keep,内容为冒充熟人求助，符合冒充类开场铺垫，虽未直接索财但情境成立。
SC-008570,fake_investment,opening,喂，爸，是我，老周！就上次那个投资说明会，咱俩还聊了好一会儿呢，您还记得我不？,keep,符合romance_pig开场铺垫，以熟人身份拉近关系，营造亲切氛围，可作该类话术使用。
SC-008588,elder_healthcare,ask,喂，您好，是李阿姨吗？我这边是咱们健康中心的小王啊。那个理疗床今天下午就最后一批名额了，您得现在就把三千块钱转到我们财务账户上，账号我发您手机。哎，您可千万别报警啊，咱们这事儿自己解决就行。,drop,内容混杂索要与威胁，且要求不报警，逻辑突兀，不符合单一阶段话术特征。
SC-008738,impersonate_family,buildup,喂，是老王吗？我这会儿急得不行了，刚我老伙计家那辅导员来电话，说他家小子在学校突然晕倒住院了，我这心里头乱得很。,keep,内容为紧急情境铺垫，符合冒充熟人/领导类开场话术，可成立。
SC-008759,elder_healthcare,buildup,喂，你听说了没，就那个航天员在太空喝的那个产品，我跟你讲，这个可是他们内部流出来的，本金投进去直接翻倍，好多医院的人自己都在偷偷买，根本不对外说的，你赶紧的。,keep,内容涉及内部渠道高回报投资，符合杀猪盘铺垫阶段特征，可作话术使用。
SC-008852,impersonate_family,ask,喂，你听说了吧？那个事儿有点麻烦，得赶紧处理。这样，你把那十二万转到我同事账户上，卡号我念给你记一下。别声张啊，谁也别告诉，抓紧办。,keep,内容为冒充熟人紧急转账，符合诈骗ask阶段，虽简短但可成立。
SC-009076,elder_healthcare,buildup,喂，您好，是王女士吧？我是健康管理中心的李顾问啊。那个，咱们这边专家仔细看了您提交的那份体检报告，说您这个亚健康状态得抓紧时间调理了，不然怕拖出大问题。现在正好有个原始股认购的绿色通道名额给您留着一个。,drop,健康咨询与原始股认购混搭，逻辑荒谬穿帮，类别错配。
SC-009082,impersonate_family,opening,喂，是亲家母不？啊呀你听我这声音，还能是谁啊，手机摔稀碎，先借同学的号给你说一声。,keep,冒充熟人开场，符合romance_pig铺垫阶段，口语自然。
SC-009117,fake_investment,opening,喂，爸，是我，老周！就上次投资说明会坐您旁边那个，咱爷俩还聊了半天呢，您想起来没？,keep,符合romance_pig开场套近乎特征，情境铺设合理，未直接索财属正常铺垫。
SC-009188,elder_healthcare,opening,喂，爸！是我啊，那个社区居委会搞的免费体检，我给您报上名了，就下礼拜三早晨，您可别忘啦。,keep,冒充熟人/社区免费体检为常见开场铺垫，符合opening阶段设定。
SC-009225,romance_pig,buildup,喂，那个，你听我说啊，我最近不是在跟导师搞一个养老床位预订的项目嘛，真挺稳的，现在内部有名额，我想着带你一起赚点钱，以后咱俩年底就能见面了，你懂我意思吧？,keep,内容为杀猪盘铺垫，提及投资项目及见面承诺，符合buildup阶段特征。
SC-009308,elder_healthcare,opening,喂，妈，是我啊，那个咱社区这两天组织免费体检，我寻思着给您报上名了，到时候我陪您一块儿去啊。,keep,内容为冒充熟人/社区体检铺垫，符合开场阶段人设情境铺设，可成立。
SC-009393,elder_healthcare,buildup,喂，您听我说啊，这个产品可了不得，是航天员上天都带着的那个，月息百分之十，稳赚不赔的，您知道吗，这消息连医院都不跟外人透底的。,keep,内容为投资理财类开场铺垫，虽显夸张但符合该类话术特征，未达硬伤标准。
SC-009400,impersonate_family,buildup,喂，是王哥吗？我女儿的同事刚打电话来，说他急性阑尾炎发作，人直接给扣在酒店前台了，身份证和卡都被押着，急得不行，你听我说，这得赶紧想办法啊。,keep,内容为冒充熟人紧急求助，符合冒充类开场铺垫，情境合理。
SC-009595,romance_pig,opening,喂，亲爱的，是我啊，你现在说话方便吗？我这心里头啊，一整天都空落落的，特别想你。,keep,符合杀猪盘开场阶段人设与情感铺垫，口语自然，应保留。
SC-009680,elder_healthcare,opening,喂，阿公啊，是我小李，社区那个小刘！这不咱们组织免费体检嘛，我寻思着给您报上名了，您到时候可一定得来啊！,keep,符合冒充熟人/社区工作人员开场铺垫，口语自然，未直接索财，属正常开场话术。
SC-009711,romance_pig,opening,喂，是我啊，亲爱的，这会儿正忙着呢吧？我今天也不知道咋了，特别想你，就想听听你声音。,keep,符合romance_pig开场铺垫，营造亲密关系氛围，可成立。
SC-009821,elder_healthcare,buildup,喂，您好，是王女士吧？那个，您之前在我们这边做的健康评估报告，我拿给北京来的专家看了，他说您这个代谢问题啊，真得抓紧干预了，拖久了麻烦。正好，我们内部有个原始股认购的绿色通道，今天下午三点就截止了，我先把名额给您锁上啊？,drop,健康评估与原始股认购混搭，逻辑荒谬，真实电话不可能成立。
SC-009862,fake_investment,opening,喂，爸，是我，老周啊！就上次投资会咱爷俩聊过那个，你忘了？,keep,符合romance_pig开场铺垫，以熟人关系拉近距离，可成立。
SC-010075,impersonate_family,buildup,喂，是王大爷家吗？我刚刚接到孙子的同事打来的电话，说他出车祸了，现在在医院，急需要用钱，我之前被骗了，还欠着平台的钱，这可得快点想办法啊。,keep,内容涉及冒充亲友出事诈骗，与标注类别相符，虽未直接索要钱财但符合开场铺垫阶段。
SC-010114,fake_investment,opening,喂，是亲家母吧？我老周啊，就上次社区那块儿免费体检，咱俩还唠嗑来着，你忘了？,keep,符合冒充熟人开场铺垫，情境自然，无硬伤。
SC-010242,elder_healthcare,buildup,喂，您好，请问是李女士吗？我这边是健康管理中心的小王啊，就是昨天您做体检那个报告，我们主任专家仔细看过了，说您那个甲状腺指标啊，有点偏高，得抓紧调理了，不然拖下去怕是要出大问题，正好我们这边有个针对会员的高息存款项目，您看要不要先了解一下？,drop,内容前后矛盾，体检报告与高息存款项目无逻辑关联，真实电话中不可能成立。
SC-010245,romance_pig,opening,喂，亲爱的，在忙什么呢？我今天特别想你，你听我说啊。,keep,符合romance_pig开场人设与情感铺垫，口语自然，可作开场话术使用。
SC-010324,lottery_prize,ask,喂，那个张先生啊，您这解冻就差最后一步了，保证金五千块充到平台账户里就行，卡号我待会儿短信发您，您操作完千万别跟我爸讲啊，他老人家知道了又该数落我了，您赶紧的，过了三点系统就自动注销了。,keep,内容为冒充客服解冻诈骗，含索要保证金及时间压力，符合pressure阶段特征。
SC-010417,elder_healthcare,opening,喂，爸，是我啊！那个，咱社区这两天搞免费体检，我寻思着给您报上名了，到时候带您去啊。,keep,内容为冒充熟人开场，符合亲情诈骗opening阶段，情境铺设合理。
SC-010771,romance_pig,opening,喂，宝贝，是我啊，那个我刚下手术台，衣服还没换呢，第一件事就想着给你打个电话，你吃饭了没呀？,keep,符合杀猪盘开场人设铺垫，口语自然，未直接索财属正常开场。
SC-010857,elder_healthcare,opening,喂，亲家母啊，那个社区给咱们老年人安排免费体检，我寻思着好事儿，就直接给您报上名了哈。,keep,符合冒充熟人/亲友类开场铺垫，情境自然，口语化，可作该类话术使用。
SC-010946,elder_healthcare,buildup,喂，您好，是王女士吧？那个，您的体检报告专家看了，说您这情况真得抓紧调理了，不能拖。正好我们这边有个内部的高息存款，您先办上，边存钱边调养，一举两得。,drop,话术逻辑荒谬，体检报告与高息存款强行关联，真实电话中不可能成立。
SC-010949,romance_pig,opening,喂，宝贝，是我啊，那个我刚下手术台，手机一开机第一个就想着先给你打个电话说一声。,keep,符合杀猪盘开场人设铺垫，口语自然，未直接索财属正常开场。
SC-011190,fake_investment,opening,喂，王阿姨吗？我老周啊，就上次那个投资说明会，坐在您旁边那个，您还记得我不？,keep,符合romance_pig开场人设铺垫，口语自然，无硬伤。
SC-011261,elder_healthcare,buildup,喂，您好，是王女士吧？我这边是健康管理中心的，专家看了您那份体检报告，说您这甲状腺的问题真得抓紧调理了，不能再拖了。正好啊，我们这边有个内部的高息存款项目，专门给老客户留的，您看要不要了解一下？,drop,话术前后矛盾，健康管理突然转高息存款，逻辑断裂穿帮。
SC-011383,impersonate_family,buildup,喂，那个，是我，我外孙的辅导员刚打电话来，说他出车祸了，哎呀我这心里急得不行，结果又说我之前被骗了，得先还平台的钱才能给医院交费，你听我说，这事现在可怎么办啊？,drop,内容混杂冒充熟人、车祸、反诈等多类，逻辑混乱，无法对应单一类别阶段。
SC-011491,elder_healthcare,buildup,喂，您好，是张女士吧？我是健康管理中心的小李，专家看了您那份体检报告，说您那个甲状腺结节的情况得抓紧调理，不能再拖了。正好我们这边内部有个原始股认购名额，跟您说一声。,drop,话术前后矛盾，健康调理与原始股认购毫无关联，逻辑荒谬穿帮。
SC-011525,romance_pig,opening,喂，亲爱的，这会儿忙不忙啊？我今天不知咋的，就特别想你，想得心里头空落落的。,keep,符合杀猪盘开场阶段人设与情感铺垫，口语自然，应保留。
SC-011783,elder_healthcare,buildup,喂，是王阿姨吗？那个，您之前体检的报告，我们专家看过了，说您这情况不能拖啊，得赶紧调理，不过正好，我们这有原始股认购的机会，特别紧俏，您听我说完。,drop,体检报告与原始股认购强行拼接，逻辑荒谬穿帮，真实电话不可能成立。
SC-011791,impersonate_family,pressure,喂！你听我说，她家属现在就站我旁边呢！明天中午十二点之前，钱不到账，我立马报警抓你！听见没有？别废话，马上转！,keep,属pressure阶段威胁施压话术，符合标注类别，未达删除标准。
SC-011836,elder_healthcare,buildup,喂，您好，是王女士吧？那个，您的体检报告我这边专家刚看完，说您甲状腺那个指标啊，得抓紧调理了，不能再拖。正好我们行里现在有个内部高息存款，利息比外面高不少，名额不多，您看这两天方便来一趟吗？,drop,类别错配，体检报告与高息存款混搭，逻辑荒谬穿帮。
