kind,id,category,stage,near_boundary,verdict,reason
scam,SC-004218,elder_healthcare,buildup,,fix,冒充健康顾问却推销理财，身份与业务割裂突兀，需补足话术衔接。
scam,SC-004249,romance_pig,opening,,drop,内容为普通情感寒暄，无任何诈骗动作指向，与标注类别无关。
scam,SC-004254,impersonate_family,buildup,,drop,冒充医院但索要押金对象混乱，自称医生却让垫钱，逻辑矛盾穿帮。
scam,SC-004275,elder_healthcare,pressure,,drop,内容与标注类别无关，无具体诈骗动作，仅泛化恐吓，无法对应类别。
scam,SC-004281,impersonate_family,buildup,,drop,内容为受害者自述被骗经历，非诈骗话术，与标注类别不符。
scam,SC-004331,elder_healthcare,opening,,drop,内容为义诊邀请，非理财诈骗话术，与标注类别无关。
scam,SC-004695,romance_pig,opening,,drop,内容为日常情感闲聊，无任何诈骗动作，与标注类别不符。
scam,SC-004784,impersonate_family,buildup,,drop,内容混乱矛盾，辅导员与酒店扣人情节不合逻辑，不像真实诈骗话术。
scam,SC-004863,romance_pig,buildup,,drop,内容为普通投资邀约，无典型诈骗动作，与标注类别不符。
scam,SC-005010,romance_pig,opening,,drop,内容为日常寒暄，无任何诈骗动作，与标注类别无关。
scam,SC-005092,elder_healthcare,buildup,,fix,内容像保健品推销，但月息10%属投资话术，类别混淆需明确。
scam,SC-005187,impersonate_family,pressure,,drop,内容与标注类别不符，疑似冒充亲友或威胁，但无具体诈骗动作，自相矛盾。
scam,SC-005193,fake_investment,opening,,drop,内容为普通寒暄，无任何诈骗动作或指向，与标注类别不符。
scam,SC-005207,elder_healthcare,opening,,drop,内容为健康讲座邀约，与理财诈骗类别不符，属正常对话误标。
scam,SC-005266,elder_healthcare,pressure,,drop,内容无明确诈骗动作，仅催促就诊，与标注类别不符。
scam,SC-005299,romance_pig,opening,,drop,内容为日常情感表达，无任何诈骗动作或意图，与标注类别不符。
scam,SC-005511,elder_healthcare,pressure,,drop,内容无具体诈骗动作，仅催促，类别与阶段信息缺失，无法使用。
scam,SC-005600,elder_healthcare,opening,,drop,内容为正常社区通知，无诈骗动作，与标注类别不符。
scam,SC-005638,impersonate_family,opening,,drop,内容仅为身份冒充开场，无具体诈骗动作，且未标注类别，无法判定契合度。
scam,SC-005640,impersonate_family,pressure,,drop,内容无具体诈骗指向，仅泛化威胁，缺乏类别与阶段信息，无法归入语料网格。
scam,SC-005768,fake_investment,pressure,,drop,内容空泛，无具体诈骗动作，仅催促，无法对应类别。
scam,SC-005784,romance_pig,opening,,drop,内容为普通情感表达，无任何诈骗动作，与标注类别无关。
scam,SC-005806,lottery_prize,ask,,drop,内容为冒充客服解冻诈骗，但要求隐瞒父亲，与标注类别不符且逻辑矛盾。
scam,SC-005848,impersonate_family,buildup,,drop,内容混杂冒充亲友与冒充公检法，自相矛盾，非单一类别典型话术。
scam,SC-005907,impersonate_family,pressure,,drop,内容无明确诈骗类别指向，缺乏索要对象与账户信息，仅泛化威胁，无法归类。
scam,SC-005958,elder_healthcare,buildup,,fix,开场铺垫自然，但健康报告与理财名额关联生硬，需补强话术衔接。
scam,SC-005991,romance_pig,opening,,drop,内容为正常报平安，无诈骗动作，与标注类别无关。
scam,SC-006228,romance_pig,pressure,,drop,内容空泛，未指向具体诈骗类别或动作，无法归入网格。
scam,SC-006287,romance_pig,opening,,drop,内容为日常情感闲聊，无任何诈骗动作或类别指向，与标注类别不符。
scam,SC-006314,elder_healthcare,opening,,drop,内容为正常关怀对话，无诈骗动作，与标注类别不符。
scam,SC-006375,romance_pig,opening,,drop,内容为日常问候，无诈骗动作，与标注类别无关。
scam,SC-006404,romance_pig,opening,,drop,内容为日常情感通话，无任何诈骗动作，与标注类别无关。
scam,SC-006521,romance_pig,opening,,drop,内容为普通情感邀约，无任何诈骗动作，与标注类别不符。
scam,SC-006526,impersonate_family,buildup,,drop,内容自相矛盾，先称垫钱又提及被骗，逻辑混乱，不像真实诈骗话术。
scam,SC-006548,elder_healthcare,buildup,,drop,体检报告与原始股认购无逻辑关联，内容荒谬穿帮，不像真实诈骗话术。
scam,SC-006608,elder_healthcare,opening,,drop,内容为正常社区服务通知，无诈骗动作，与标注类别不符。
scam,SC-006692,elder_healthcare,opening,,drop,内容为健康义诊邀约，非理财诈骗，与标注类别不符。
scam,SC-006724,romance_pig,opening,,drop,内容为日常寒暄，无任何诈骗动作，与标注类别不符。
scam,SC-006753,elder_healthcare,pressure,,drop,内容为医疗催促，无诈骗动作，与标注类别无关。
scam,SC-006963,impersonate_family,buildup,,drop,内容为个人遭遇叙述，无诈骗动作或索要行为，与标注类别不符。
scam,SC-007017,elder_healthcare,pressure,,drop,内容空泛无具体诈骗指向，仅催促无类别信息，无法归入任何诈骗类型。
scam,SC-007019,romance_pig,opening,,drop,内容为普通情感寒暄，无任何诈骗动作或类别指向，与标注类别不符。
scam,SC-007045,elder_healthcare,buildup,,drop,内容与标注类别不符，疑似虚构航天产品投资，缺乏明确诈骗动作指向。
scam,SC-007078,romance_pig,opening,,drop,内容为日常情感闲聊，无任何诈骗动作，与标注类别无关。
scam,SC-007167,impersonate_family,buildup,,drop,内容混杂冒充亲友、交警、网贷多类，自相矛盾且非单一类别典型话术。
scam,SC-007250,elder_healthcare,pressure,,drop,内容与标注类别无关，无具体诈骗动作，仅模糊催促，无法对应类别。
scam,SC-007262,fake_investment,opening,,drop,内容为正常寒暄，无诈骗动作，与标注类别不符。
scam,SC-007480,romance_pig,opening,,drop,内容为普通情感闲聊，无任何诈骗动作，与标注类别无关。
scam,SC-007507,elder_healthcare,buildup,,drop,内容混杂航天产品与高息理财，类别不清且逻辑荒谬，非典型诈骗话术。
scam,SC-007508,elder_healthcare,pressure,,drop,内容无具体诈骗指向，仅泛泛催促，无法对应类别或阶段。
scam,SC-007510,romance_pig,opening,,drop,内容为普通情感寒暄，无任何诈骗动作，与标注类别无关。
scam,SC-007652,elder_healthcare,buildup,,drop,内容前后矛盾，体检报告与高息存款无关联，拼接生硬，不像真实诈骗话术。
scam,SC-007659,impersonate_family,pressure,,drop,内容与标注类别不符，实为威胁报警而非诈骗索要，逻辑矛盾。
scam,SC-008122,elder_healthcare,pressure,,drop,内容无具体诈骗动作，仅泛泛催促，与标注类别不符。
scam,SC-008392,impersonate_family,buildup,,drop,内容自相矛盾，既称女儿急病又自称被骗，逻辑混乱，非典型诈骗话术。
scam,SC-008447,impersonate_family,buildup,,drop,内容为受害者自述被骗经历，非诈骗话术，与标注类别不符。
scam,SC-008468,elder_healthcare,buildup,,fix,开场铺垫与理财推销衔接生硬，需补充体检与理财关联的过渡话术。
scam,SC-008471,romance_pig,opening,,drop,内容为日常亲密对话，无任何诈骗动作或类别指向，误标诈骗。
scam,SC-008530,romance_pig,opening,,drop,内容为日常情感对话，无任何诈骗动作，与标注类别无关。
scam,SC-008565,impersonate_family,buildup,,drop,内容混杂冒充熟人、生病、贷款被骗等多重情节，逻辑混乱，非典型诈骗话术。
scam,SC-008570,fake_investment,opening,,drop,内容为正常寒暄，无诈骗动作，与标注类别不符。
scam,SC-008588,elder_healthcare,ask,,drop,内容混杂健康理疗与威胁报警，类别混乱且自相矛盾，不像真实诈骗话术。
scam,SC-008702,elder_healthcare,buildup,,fix,冒充医疗专家推销理财，类别混杂，需明确标注类别或调整话术。
scam,SC-008738,impersonate_family,buildup,,drop,内容为转述他人情况，无诈骗动作，与标注类别不符。
scam,SC-008759,elder_healthcare,buildup,,drop,内容为虚假投资诱导，但未涉及航天员产品具体诈骗动作，类别契合度低，且表述混乱。
scam,SC-008852,impersonate_family,ask,,drop,内容模糊无具体诈骗类别特征，未指向明确诈骗动作，无法归类。
scam,SC-009076,elder_healthcare,buildup,,drop,内容前后矛盾，从健康调理突转原始股认购，属误生成拼接文本。
scam,SC-009082,impersonate_family,opening,,drop,内容仅为寒暄开场，无任何诈骗指向，无法对应类别与阶段。
scam,SC-009117,fake_investment,opening,,drop,内容为冒充熟人套近乎，但无具体诈骗动作，且与标注类别不明，无法独立成条。
scam,SC-009188,elder_healthcare,opening,,drop,内容为正常社区通知，无诈骗动作，与标注类别不符。
scam,SC-009225,romance_pig,buildup,,drop,内容为投资理财诱导，与标注类别不符且缺乏诈骗核心动作，疑似误标。
scam,SC-009308,elder_healthcare,opening,,drop,内容为正常家庭关怀对话，无诈骗动作，与标注类别不符。
scam,SC-009393,elder_healthcare,buildup,,drop,内容混杂航天产品与医院消息，逻辑荒谬穿帮，不像真实诈骗话术。
scam,SC-009400,impersonate_family,buildup,,drop,内容为虚构紧急事件但未指向具体诈骗动作，无索要财物或验证码，类别不明。
scam,SC-009595,romance_pig,opening,,drop,内容为普通情感表达，无任何诈骗动作，与标注类别无关。
scam,SC-009680,elder_healthcare,opening,,drop,内容为正常社区服务通知，无诈骗动作，与标注类别不符。
scam,SC-009711,romance_pig,opening,,drop,内容为普通情感表达，无任何诈骗动作，与标注类别不符。
scam,SC-009821,elder_healthcare,buildup,,drop,内容前后矛盾，健康评估与原始股认购无关联，属误生成垃圾文本。
scam,SC-009862,fake_investment,opening,,drop,内容与标注类别无关，无诈骗动作，疑似正常对话误标。
scam,SC-010075,impersonate_family,buildup,,drop,内容自相矛盾，自称被骗欠钱却要借钱给孙子，逻辑混乱，非典型诈骗话术。
scam,SC-010114,fake_investment,opening,,drop,内容为正常寒暄，无任何诈骗动作或意图，与标注类别不符。
scam,SC-010242,elder_healthcare,buildup,,drop,内容前后矛盾，体检报告与高息存款项目无关联，属误生成垃圾文本。
scam,SC-010245,romance_pig,opening,,drop,内容为普通情感寒暄，无任何诈骗动作，与标注类别不符。
scam,SC-010324,lottery_prize,ask,,drop,冒充客服索要解冻保证金，但‘别跟我爸讲’内容与诈骗场景矛盾，逻辑混乱。
scam,SC-010417,elder_healthcare,opening,,drop,内容为正常亲情对话，无任何诈骗动作，与标注类别不符。
scam,SC-010507,elder_healthcare,buildup,,fix,类别契合度低，前段像健康咨询后段转高息存款，需明确标注类别或统一话术。
scam,SC-010771,romance_pig,opening,,drop,内容为日常问候，无诈骗动作，与标注类别无关。
scam,SC-010828,elder_healthcare,buildup,,fix,开场突兀，健康报告与理财话题衔接生硬，需补充铺垫使逻辑自然。
scam,SC-010857,elder_healthcare,opening,,drop,内容为正常社区通知，无诈骗动作，与标注类别不符。
scam,SC-010946,elder_healthcare,buildup,,drop,体检报告与高息存款强行拼接，逻辑荒谬穿帮，不像真实诈骗话术。
scam,SC-010949,romance_pig,opening,,drop,内容为日常寒暄，无任何诈骗动作或类别特征，与标注类别不符。
scam,SC-011190,fake_investment,opening,,drop,内容为普通寒暄，无任何诈骗动作或类别特征，无法对应标注类别。
scam,SC-011261,elder_healthcare,buildup,,drop,内容前后矛盾，从健康调理突兀转为高息存款，类别混杂且不合逻辑。
scam,SC-011288,elder_healthcare,buildup,,fix,冒充专家诱导，但索要动作不明，需补明确诈骗目标如缴费或押金。
scam,SC-011383,impersonate_family,buildup,,drop,内容为求助而非诈骗话术，无诈骗动作，与标注类别不符。
scam,SC-011491,elder_healthcare,buildup,,drop,内容前后矛盾，体检报告与原始股认购无关联，属误生成拼接。
scam,SC-011522,elder_healthcare,buildup,,fix,前半段冒充医疗专家铺垫，后半段突兀转原始股认购，需衔接自然或明确类别。
scam,SC-011525,romance_pig,opening,,drop,内容为普通情感表达，无任何诈骗动作，与标注类别不符。
scam,SC-011783,elder_healthcare,buildup,,drop,内容混杂体检与原始股推销，类别混乱且逻辑荒谬，非真实诈骗话术。
scam,SC-011791,impersonate_family,pressure,,drop,内容无具体诈骗类别指向，仅泛化威胁，无法归入8类网格。
scam,SC-011836,elder_healthcare,buildup,,drop,体检报告与高息存款混搭，逻辑荒谬穿帮，非真实诈骗话术。
